line,artist
'cause you can't get blood from a stone you can't open the door if there's nobody home,Dio
They've taken it all so just leave me alone you can't get blood from a stone,Dio
It isn't once upon a time when nobody falls and the hero flies,Dio
That victims got to fit the crime and nobody goes down with you you you,Dio
'cause you can't get blood from a stone you can't open the door if there's nobody home,Dio
They've taken it all so just leave me alone you can't get blood from a stone no no,Dio
'cause you can't get blood from a stone you can't open the door if there's nobody home,Dio
They've taken it all so just leave me alone no you can't get blood from a stone,Dio
No blood from a stone go on and leave me alone and I know it's a shock,Dio
To learn you can't you can't you can't get blood from a rock,Dio
Here's to you here's to me masters of the universe the curse of destiny,Dio
All for one it's one for all now you can pull the trigger as we're knocking down the wall,Dio
When you finally shoot too high the lie will always bring it down,Dio
You resurrection angels look what we found that the wheel goes around so here's to you,Dio
Come on raise the dead heads will roll cancel the infection we can purify the soul,Dio
Do the crime then write the law there's no wrong you can change it where a change you've never saw,Dio
Hey you desperation angels here we found that they all fell down so here's to me here's to you,Dio
Here's to you here's to me here's to reason oh here's to me here's to you raise the dead here's to freedom,Dio
Did you ever believe in your dreams before were you always afraid of the dark,Dio
Is the edge of the world always in your head does the gun point straight at your heart,Dio
It used to come just when you sleep but now it's only a shout away,Dio
You always seem to find the sun but this time the sun is a fire,Dio
Bring down the rain this house is burning again put out the flame bring down the rain,Dio
You were told that the storm would just roll on by that the thunder was made in your mind,Dio
And the heat in the night was to keep you warm and the truth could be told by a liar now,Dio
You always seem to find the light but this time the light is a fire,Dio
Bring down the rain this house is burning again put down the flame bring down the rain,Dio
Shake up break up everybody make up everything's always the same,Dio
Trapped down trapped down everybody back down bring down the rain,Dio
You always seem to find the light but this time the light is a fire,Dio
Bring down the rain this house is burning again don't play the game ,Dio
Bring down the rain put out the flame bring down the rain,Dio
It's the shake up break up everybody make up well it's always the same,Dio
Trapped down cracked down everybody back down won't you bring down all the rain,Dio
Inside the walls I've made,Dio
To keep out all who reach for me,Dio
I might have lost my way,Dio
And I can't come out again,Dio
Don't come around here anymore,Dio
You may infect yourself,Dio
Don't ever cross this line,Dio
You could see monsters in your mind,Dio
There just like me,Dio
Have I erased all sense of touch,Dio
I don't feel anything,Dio
Sometimes they say I need,Dio
Sometimes I think I need,Dio
Sometimes I know I need,Dio
New parts for my brain,Dio
"Most dreams, they're black and white",Dio
But I must color mine,Dio
Each day's another end,Dio
Less night of screaming,Dio
Shouting at the outside,Dio
Someone let me in,Dio
Set me free now no-one can,Dio
Faces at the window,Dio
"Stop the water, bags of sand",Dio
Institutional man,Dio
Sometimes they say I need,Dio
Sometimes I think I need,Dio
Sometimes I know I need,Dio
New parts for my brain,Dio
Set me free now no-one can,Dio
Faces at the window,Dio
"Lock the cages, tie my hands",Dio
"Institutional, institutional man",Dio
"Please, please, make love freeze",Dio
And break apart in the middle (of it)?,Dio
Then they could see the hate,Dio
When they separate,Dio
And taste the salt of their tears,Dio
"No, no, it's all about experience",Dio
"Control, you might as well be wood, no good",Dio
"Why why, your questions die",Dio
In a shout and no attention,Dio
You might have said,Dio
That they both were dead,Dio
So put the puzzle away,Dio
"But no, it's all about experience",Dio
"Control, they're gonna give you none, no fun",Dio
"Don't tell the kids, they'll never understand it",Dio
"Don't tell the kids, don't waste your time, no",Dio
"Get back, it's a heart attack",Dio
And the planet needs a doctor,Dio
We can tell it looks like hell,Dio
But they make us close our eyes,Dio
"No, it's all about experience",Dio
"And control, you might as well be stone, alone",Dio
"Don't tell the kids, they'll never understand it",Dio
"Don't tell the kids, don't waste your time, yeah",Dio
"Don't tell the kids, they'll never get the picture",Dio
"Don't tell the kids, you waste your time, yeah",Dio
"Don't tell the kids, they just don't understand it",Dio
"Don't tell the kids, don't waste your time, time",Dio
Talk to the animals,Dio
Anyone who'll answer,Dio
Any fool will do,Dio
Just don't tell the kids,Dio
Identify the real world,Dio
Investigate the real world,Dio
Intensify inspection,Dio
There for all to see,Dio
Here's what lies do,Dio
All things turn to,Dio
"Black, black",Dio
"Yeah, no",Dio
Now desensitize your heartbeat,Dio
Regulate the heartbeat,Dio
Sterilize all emotion,Dio
Justify your needs,Dio
Here's what love does,Dio
Dies and fades to,Dio
"Black, black",Dio
There are no champions,Dio
Who saves the lonely ones,Dio
In the corner,Dio
"Black, yeah",Dio
Black,Dio
You must identify,Dio
You and the real world,Dio
Interrogate the new real world,Dio
Then generate intention,Dio
"Information, please",Dio
Here's what i know,Dio
Soon we'll all go,Dio
We must fade to,Dio
Black,Dio
"Hey liar, tell me your intentions are good",Dio
Knowing it could be a lie,Dio
I see how you rise,Dio
To question the eyes of anyone who promises pain,Dio
"Contagious, something like a virus of love",Dio
Making the pleasure seem real,Dio
Another killing by the villain,Dio
Another body on the ground,Dio
Here comes the master of destruction again,Dio
I knew you from the start,Dio
Hunter of the heart,Dio
"Cat crazy, never the predictable one",Dio
Asleep in the sun now the strike,Dio
"Possession today, then send it away",Dio
After all the joys in the taking,Dio
Another beating by the villain,Dio
Another angel fallen down,Dio
Here comes the master of destruction again,Dio
Perfect for the part,Dio
Hunter of the heart,Dio
Another burning by the devil,Dio
And another diamond turned to glass,Dio
Here comes the master of destruction again,Dio
I knew you from the start,Dio
Hunter of the heart,Dio
Hunter of the heart,Dio
All you see down there,Dio
Could be yours for the taking,Dio
All your heart's desired,Dio
Would be yours but you don't want it,Dio
You don't want it,Dio
You keep telling me,Dio
Stay out of my mind,Dio
Stay out of my soul,Dio
I can't get you out of my life,Dio
So stay out of my mind,Dio
"Stay out of my mind, yeah",Dio
What do you want from life,Dio
What do you keep living for,Dio
Is it worth the price,Dio
It'll cost you nothing,Dio
But you won't take it,Dio
You won't take it,Dio
You keep telling me,Dio
Stay out of my mind,Dio
Stay out of my soul,Dio
I can't get you out of my life,Dio
So stay out of my mind,Dio
Stay out of my mind,Dio
Stay out of my mind,Dio
Stay out of my soul,Dio
I can't get you out of my life,Dio
So stay out of my mind,Dio
Stay out of my mind,Dio
Who controls your mind,Dio
There have been changes,Dio
No more giving it all for free,Dio
There will be changes,Dio
Now woman is all you need,Dio
A-ah,Dio
Here is a number,Dio
You've been given an another name,Dio
We will be watching,Dio
One might fall but you'll all be blamed,Dio
"Shame, shame",Dio
Here's big sister,Dio
We're big sister,Dio
Hear big sister,Dio
There's big sister,Dio
Dancing on your grave,Dio
Who controls your mind,Dio
Who's in charge of hearts,Dio
Who controls you time,Dio
We're in charge of you,Dio
There have been changes,Dio
Even mother's a soldier now,Dio
There have been changes,Dio
You can touch 'cause you don't know how,Dio
No,Dio
Here's big sister,Dio
We're big sister,Dio
Hear big sister,Dio
There's big sister,Dio
Dancing on your grave,Dio
"Pretty faces, young and clean",Dio
Watching you from magazines,Dio
All they want is something more,Dio
Kill the king and then we'll crown the whore,Dio
Here's big sister,Dio
We're big sister,Dio
Hear big sister,Dio
There's big sister,Dio
Who controls your mind,Dio
In charge of hearts,Dio
Controls your time,Dio
In charge of you,Dio
Here's big sister,Dio
We're big sister,Dio
Control,Dio
When you're alone and the sun's gone down,Dio
One more time,Dio
Must you prentend that some light still shines,Dio
Sounds like double Monday,Dio
Yeah,Dio
Each time you think that you've just begun,Dio
It's the end,Dio
"Oh, someone you love wants to just be friends",Dio
Sounds like double Monday,Dio
Yeah,Dio
Feels like snakes and spiders,Dio
Crawling up your body,Dio
Every someday double Monday,Dio
Like a fly against the wall,Dio
Just when you think you've seen it all you,Dio
You lose your special place to hide,Dio
"So get ready for the ride, ride, ride",Dio
Yeah,Dio
Every someday double Monday,Dio
Hush now children - lullaby,Dio
Steal what you can't borrow,Dio
Oh how brave you are,Dio
And your world has,Dio
Come so far,Dio
Are you saved,Dio
Have you been told,Dio
Right is the enemy,Dio
"Too bad, too late",Dio
Write this down,Dio
(I) don't believe in sanity ???,Dio
Or reading the instructions,Dio
"Throw 'em all away, hey",Dio
"Golden rules, Sunday school",Dio
Crazy,Dio
Wheels go round,Dio
"Angry machines, designing your destiny",Dio
"Digital dreams, with no heart, no soul",Dio
"Golden rules, Sunday school",Dio
You're all crazy now,Dio
Here's the situation,Dio
The rest are gettin' pretty,Dio
You're melting in the city,Dio
Father says to mother,Dio
"Yeah, if you really wanna trash it",Dio
Go ahead and smash it,Dio
Are you saved,Dio
Now when you go to sleep tonight,Dio
One way or another,Dio
If you don't die before you wake,Dio
Do it unto others,Dio
"Golden rules, made more fools",Dio
"Sunday school, you're all crazy",Dio
Hush now children,Dio
Don't you cry,Dio
We've just killed tomorrow,Dio
How sad you are,Dio
That your world has gone too far,Dio
Once upon a high,Dio
The streets were gold and blue was,Dio
In the sky riders gone,Dio
Never could belong,Dio
Maybe you still can dream,Dio
Sleep through screams,Dio
While we're dying in America,Dio
Once upon a child,Dio
The carnival would stop and stay a-,Dio
While you were gone,Dio
Everything went wrong,Dio
"Too soon, cartoon",Dio
Dying in America,Dio
Dying in America,Dio
In places where aces outnumber the queens,Dio
Jack is afraid of tomorrow,Dio
"Colors are changing to red, white and green",Dio
As we all fall down,Dio
Once upon a hate,Dio
They told us they could fix it if we'd,Dio
Wait for awhile,Dio
Killing you with smiles,Dio
Maybe you still can dream,Dio
Sleep through screams,Dio
While we're dying in America,Dio
Dying in America,Dio
"Sex, sex, sex",Dio
"Even bigger, even better",Dio
"Don't lose out, be a winner",Dio
"Save more, save time and save now",Dio
One hundred thirty per cent American people,Dio
Would like to be like everyone else,Dio
One more nightmare,Dio
No place like home,Dio
You see a picture of angels,Dio
I see a nail in the wall,Dio
Make him over,Dio
No time to lose,Dio
And if you've heard this one before,Dio
Don't stop me,Dio
Don't stop me,Dio
We learn slowly,Dio
Evil's in the holy,Dio
Incidental,Dio
God hates heavy metal,Dio
So I know he must hate me,Dio
Lazy-crazy,Dio
Must be my name,Dio
Why are you running to nowhere,Dio
Why do you listen to noise,Dio
So if you've heard this all before,Dio
Please stop me,Dio
Please stop me,Dio
Live don't preach it,Dio
If you can't don't teach it,Dio
Accidental,Dio
God loves heavy metal,Dio
So I know he must want me,Dio
We learn slowly,Dio
Mind control is holy,Dio
Stir don't shake it,Dio
Move too fast you'll break it up,Dio
Incidental,Dio
God is heavy metal,Dio
So I know he must need me,Dio
Who cares what came before,Dio
We were only starlight,Dio
"One day, then nevermore",Dio
Because we're whispers in the wind,Dio
Once upon a time,Dio
The world was never blind,Dio
Like we are,Dio
Right now it seems,Dio
You're only dreams and shadows,Dio
If wishes could be eagles how you'd fly,Dio
This is your life,Dio
This is your time,Dio
What if the flame won't last forever,Dio
This is your here,Dio
This is your now,Dio
Let it be magical,Dio
Who cares what came before,Dio
We're only starlight,Dio
Once upon the time,Dio
All the world was blind,Dio
Like we are,Dio
This is your life,Dio
This is your time,Dio
Look at your world,Dio
This is your life,Dio
"We have examined the manuscript. The information is complete, but does not conform to logical patterns. Flesh cannot be mutated into stone and remorphed back to the body once again. Continue the investigation with special attention given to one word. Magica!",Dio
I love the night,Dio
So many shadows,Dio
Unholy light,Dio
Putting out the spark,Dio
Leave 'em in the dark - forever,Dio
Ooh,Dio
I can wait for you,Dio
Your end is my life,Dio
All lies are true,Dio
Secrets of the heart,Dio
And you can take them all - To heaven,Dio
I don't feel pain or sorrow,Dio
The child's a man tomorrow,Dio
Crossing the line - Then he's mine,Dio
Don't care which god you follow,Dio
Whose promises you swallow,Dio
Time and again,Dio
We must meet at the end,Dio
Aaah,Dio
It's all right,Dio
When the music is over,Dio
Come on and dance,Dio
For the lord of the last day,Dio
I love the night,Dio
So many shadows,Dio
Unholy light,Dio
Secrets of the heart,Dio
Leave 'em in the dark,Dio
Forever,Dio
Lately when my demons drag the night across my eyes,Dio
I just can't seem to fight it anymore,Dio
Yield unto temptation and be ruler of the world,Dio
But it seems that I have heard that song before,Dio
And the voices begin to sing - Come home,Dio
I have seen some evil as I've walked upon the earth,Dio
But this is way beyond what eyes can see,Dio
Wicked is as wicked does and if I lose control,Dio
Is this the way that hell is gonna be,Dio
Have I fallen too far to rise,Dio
Been burning too long in the fire,Dio
Then it all falls down - Tearing the night away,Dio
It must be - Fever dreams,Dio
Fever dreams,Dio
Fever dreams,Dio
Now before my demons roll the night across my eyes,Dio
I tremble as I wait perhaps to sin,Dio
Yield unto temptation and be ruler of the world,Dio
And all I do is let the beast come in,Dio
Have I fallen too far to rise,Dio
I've been standing too long in the fire,Dio
Let it all fall down,Dio
Tearing the night away,Dio
It must be - Fever dreams,Dio
From the outside - Fever dreams,Dio
"Oh, fever dreams",Dio
Fever dreams,Dio
Ooh-ooh,Dio
Fever dreams,Dio
Fever dreams,Dio
Fever dreams,Dio
Fever dreams,Dio
Fever dreams,Dio
Fever dreams,Dio
"Welcome to sun down, welcome to the dark",Dio
Could it be that evil has heroes,Dio
Bring everybody down - Celebration,Dio
Passing of the light,Dio
Giving up your spirit to the night,Dio
You'll turn to stone - Turn to stone,Dio
Just for ever,Dio
You'll turn to stone - Turn to stone,Dio
Here comes a fire,Dio
We'll burn it to the ground,Dio
Inside the page lies the power,Dio
We've turned it all around - Celebration,Dio
Words have control,Dio
To take away your heart and then your soul,Dio
You'll turn to stone - Turn to stone,Dio
Just for ever,Dio
You'll turn to stone - Turn to stone,Dio
Oh pray for a miracle,Dio
But the wishes in the well have all gone dry,Dio
There's no way for a miracle,Dio
"It's not the way you live, it's how you'll die",Dio
Welcome to sun down - Welcome to the dark,Dio
Could it be that the evil has heroes,Dio
We've turned it all around - Celebration,Dio
Words have control,Dio
To take away your heart and then your soul,Dio
You'll turn to stone - Turn to stone,Dio
Just for ever,Dio
You'll turn to stone,Dio
You'll turn to stone - Turn to stone,Dio
Concerning the inhabitants of Otherworld.,Dio
"There are many similarities to be found, parallel to our own society.",Dio
The individual must be absorbed. The collective must be as one. Feed my head!,Dio
Hiding in a corner,Dio
Waiting for the storm,Dio
Maybe they'll forget about me,Dio
Avoid connection,Dio
Still they say you always surrender,Dio
All the smiling faces,Dio
Promising the sun,Dio
Another way of breaking you down,Dio
All is lost,Dio
Hope is dead,Dio
Feed my mind,Dio
Fill my head,Dio
Hope is gone,Dio
The spell's been said,Dio
Fill my mind,Dio
Feed my head,Dio
Ah,Dio
Waiting for my number,Dio
To climb upon the cross,Dio
Maybe they'll forget about me,Dio
Must avoid detection,Dio
But they say you'll still go down,Dio
Safe in dreams,Dio
Away from where they are,Dio
Let me be nowhere,Dio
Just another star,Dio
Safe in night,Dio
The shadows cloak their eyes,Dio
Take me to nowhere,Dio
Where everybody flies,Dio
Oh!,Dio
All is lost,Dio
Hope is dead,Dio
Feed my mind,Dio
Fill my head,Dio
Hope is gone,Dio
The spell's been said,Dio
Fill my mind,Dio
Feed my head,Dio
All is lost,Dio
Hope is dead,Dio
Feed my mind,Dio
Fill my head,Dio
Hope is gone,Dio
The spell's been said,Dio
Fill my mind,Dio
Feed my head,Dio
All is lost,Dio
Hope is dead,Dio
Feed my mind,Dio
Fill my head,Dio
Hope is gone,Dio
The spell's been said,Dio
Fill my mind,Dio
Feed my head,Dio
All is lost,Dio
Hope is dead,Dio
Feed my mind,Dio
Fill my head,Dio
Now that my dreams have gone dead,Dio
I see them burning in the fire,Dio
Just like the words that I've said,Dio
Ashes turned to ashes once again,Dio
Look for a sign in the air,Dio
A light that dances in the sky,Dio
Maybe you'll see it somewhere,Dio
"Oh, shining like a diamond",Dio
Promising that hope will never die,Dio
I might know the answer,Dio
"Well, it's back there in my brain",Dio
Someday soon I'll be rising again,Dio
Higher than the sun,Dio
I have been father and son,Dio
I cry for children of the night,Dio
Just because tears have begun,Dio
Beware of quiet voices,Dio
Thunder comes from silence - I am light,Dio
"Oh, look for a sign, is it me",Dio
No don't believe with only eyes,Dio
Speak to the blind 'cause they see,Dio
Truth is just a circle,Dio
Spinning round until it meets the lies,Dio
Then dies,Dio
I am a rock,Dio
And you are glass,Dio
Never broken - never last,Dio
And if you're in my way I'll knock you down,Dio
If it's a joke,Dio
I'll never laugh,Dio
Here's exactly how I see you in the light,Dio
You're like a tear in the ocean,Dio
Dust in the wind,Dio
Like a stone in the water,Dio
I'm gonna sleep with the devil's daughter,Dio
I am your shock,Dio
I am your shame,Dio
Another face without a name,Dio
And if you think I'm angry just come over,Dio
I need to tell,Dio
Just who you are,Dio
My description of the world I've seen so far,Dio
You're like a tear in the ocean,Dio
Dust in the wind,Dio
Like a stone in the water,Dio
I might marry the devil's daughter,Dio
I am a rock,Dio
And you are glass,Dio
If it's a joke,Dio
Nobody laugh,Dio
And even - When you know you're guilty still you're right,Dio
You're like a tear in the ocean,Dio
Dust in the wind,Dio
Like a stone in the water,Dio
Like a spark in the fire,Dio
Dust in the sand,Dio
Like a stone in the water,Dio
I'm gonna run with the devil's daughter,Dio
"Run, run, run, run, run away!",Dio
"Require, explanation. What is love? ",Dio
Who is love? When is love? Where is love? Why is love?,Dio
From the first time we touched with our eyes,Dio
Only magic could take away my heart,Dio
I am always afraid for my heart,Dio
So lay beside me now and tell me lies - sweet lies,Dio
As long as it's not about love,Dio
Shall we sail off the edge of the world,Dio
Fall forever and never look behind,Dio
But I must keep my heart from my mind,Dio
Lay beside me now and tell me lies,Dio
As long as it's not about love,Dio
Oh the last time we touched with our eyes,Dio
And the magic was stronger than the heart,Dio
"Oh, I can't run away with my heart",Dio
"So, lay beside me now and tell me lies",Dio
As long as it's not about love,Dio
Shall we sail off the edge of the world,Dio
Fall forever,Dio
Take my heart away but no,Dio
You can't say words about love,Dio
Ooh,Dio
If the magic comes between us,Dio
And we never meet again,Dio
Take a part of me away,Dio
'Cause maybe it's all above love,Dio
"Love, ooh",Dio
Someone said,Dio
You'll light up the universe,Dio
It's there in your head then,Dio
Crazy comes to call,Dio
Break me down,Dio
I'm only an everyone,Dio
Running from free,Dio
Running from me,Dio
And though it's not of my choosing,Dio
I'm losing my insanity,Dio
Again,Dio
Someone said,Dio
Forever was yesterday,Dio
So open your head when,Dio
Crazy comes around,Dio
Break me down,Dio
I'm only an innocent,Dio
Howl at the moon,Dio
Knowing that soon,Dio
And though it's always confusing,Dio
I'm losing my insanity,Dio
Round and round,Dio
Like the wheels in my mind,Dio
Round and round and down and down and down,Dio
And down and down,Dio
Someone said,Dio
Believe in your otherside,Dio
It's there in your head and,Dio
Waiting for a ride,Dio
Break me down,Dio
Ah once I was everything,Dio
Breaking the law,Dio
Quick on the draw,Dio
And though it's not of my choosing,Dio
I'm losing my insanity,Dio
Again,Dio
Turn round slowly,Dio
Tell us what you see,Dio
Oh no - The fly got the spider,Dio
And now he's chasing me,Dio
Change comes slowly,Dio
But this is what you'll be,Dio
Somehow it snows in the summer,Dio
"And the sun is freezing me, oh",Dio
Pain comes easy,Dio
If pleasure will let go,Dio
Oh oh - I still remember,Dio
And this is how I know,Dio
Rain falls slowly,Dio
Here it cuts you down,Dio
Oh no - We're all one another,Dio
Oh no - I'm caught in an otherworld,Dio
Rainbows and blue skies,Dio
Are black and white,Dio
Killed in their sleep by the queen,Dio
We have forsaken,Dio
Beginnings and taken the end - Amen,Dio
We've been forsaken,Dio
Beginnings and given the end - Amen,Dio
Time moves slowly,Dio
But here it never ends,Dio
Oh oh - We're all one another,Dio
Oh no - I'm caught in an otherworld,Dio
And the games still go on,Dio
With a warning to the bishop from the pawn,Dio
No one sees an angel till it smashes to the ground,Dio
And then you run somewhere,Dio
And leave it lying there,Dio
Then on we sail,Dio
Never thinking that the wind could ever fail,Dio
No one gets to heaven till they've lived awhile in hell,Dio
And even then it's rare,Dio
That you'll be going there,Dio
Now we understand. All traces of Magica must be eliminated. ,Dio
"Infection. Infection. Delete, delete, delete, delete, delete,",Dio
delete delete delete delete...,Dio
I love the night,Dio
So many shadows,Dio
Unholy night,Dio
Secrets of the heart,Dio
Leave 'em in the dark,Dio
Forever,Dio
Silence - we hunt for the queen,Dio
Sign of the cross,Dio
And pray in-between,Dio
Look by the light of the day,Dio
She's hiding till dark,Dio
Waiting to play hey-hey,Dio
Something's taken a child,Dio
And it all must end,Dio
Time to be killing the dragon again,Dio
Silence - we'll hunt for the lord,Dio
He takes crimson and gold,Dio
Gave ice to the cold,Dio
Oh to be never afraid,Dio
Of wolves at the door,Dio
Howling for more,Dio
More's been empty for years,Dio
And it all must end,Dio
Time to be killing the dragon again,Dio
Kneel and behold your new king,Dio
Digital dreams,Dio
And wonderful things to tease you,Dio
Small gods with electrical hearts,Dio
And it all will end,Dio
Time to be killing the dragon,Dio
Remember when you only needed no one,Dio
Every day's tomorrow,Dio
And it's all right,Dio
No confessions - not for you,Dio
Forget the things you've done,Dio
It's what you'll do,Dio
The first time you're suspicious,Dio
What's that gliding down,Dio
Along comes a spider,Dio
Suddenly the world has no more changes,Dio
You've run with an evil woman,Dio
So it's all right,Dio
No more strangers' candy lies,Dio
The light is so much better for your eyes,Dio
Now I'm not superstitious,Dio
But every time you've tried,Dio
Along comes a spider,Dio
Don't ask why - it's the long way around,Dio
Just go wild,Dio
Why do we believe in conversation,Dio
We never seem to listen,Dio
We only hear,Dio
Now you don't need permission,Dio
But don't get caught next time,Dio
Along comes a spider,Dio
A spider,Dio
A spider,Dio
Inside her,Dio
You've made it through another day,Dio
Driving past the backroads of your mind,Dio
You could have turned the other way,Dio
And break down on the sanity you've found inside you,Dio
Someone said that you are fantasy,Dio
But in the darkness,Dio
Behind your smile,Dio
You scream,Dio
Scream,Dio
Scream for the crazy ones,Dio
Scream at the things you've done,Dio
Scream at the rising sun,Dio
We bless the beautiful,Dio
Let us forgive you for your sins,Dio
These must be holy ones,Dio
How could we believe they'd let us in,Dio
"Oh, once I heard that they were fantasy",Dio
But in the darkness,Dio
Behind their smiles,Dio
They scream,Dio
Scream,Dio
Scream of a broken heart,Dio
Scream as they come apart,Dio
Scream cause they never started,Dio
Scream,Dio
No pain,Dio
No sympathy,Dio
You've always been so steady at the wheel,Dio
Some friend reality,Dio
You break down on the highway,Dio
About to see it my way,Dio
Scream at the crazy ones,Dio
Scream cause they all have sons,Dio
Scream as they point the gun at you,Dio
Scream at the bleeding heart,Dio
Scream cause the end won't start,Dio
Scream as you come apart again,Dio
"Again, again, again...",Dio
I'm all right - I'm crossing over,Dio
I just shot the sun,Dio
One more night - black as heaven,Dio
So no-one saw the gun,Dio
Running with monsters in shadows,Dio
And monsters always know,Dio
It's better in the dark,Dio
"Oh, she's all right - tall and handsome",Dio
If the lights are down,Dio
Gone by dawn - takes no chances,Dio
Might come back around,Dio
Clutching to monsters in shadows,Dio
And monsters always know,Dio
It's better in the dark,Dio
I'm all right - I'm crossing over,Dio
I can disappear - gone,Dio
Clutching to monsters in shadows,Dio
And monsters always know,Dio
It's better in the dark,Dio
Better in the dark,Dio
I just shot the sun,Dio
If they take away your song,Dio
You can finally hear the voices,Dio
Of the ones that don't belong,Dio
In the face of the rising wind,Dio
We all sing Gloria,Dio
Is there flame without fire,Dio
Most unlikely,Dio
If you're there when the walls come down,Dio
We all sing - warrior,Dio
Is there sight without sound,Dio
Most unlikely,Dio
But we got rock and roll,Dio
Rock and roll,Dio
Take me anywhere,Dio
Rock and roll,Dio
Rock and roll,Dio
Is there someone there,Dio
Rock and roll,Dio
On the edge of the last goodbye,Dio
We all sing - warrior,Dio
Ah the brave never die,Dio
Most unlikely,Dio
"Hey, send your heroes of to war",Dio
But whisper in their ear,Dio
Never cross the song police,Dio
They can tell you what you're gonna hear - again,Dio
For the sake of the left behind,Dio
We all sing Gloria,Dio
Soon forgotten by time,Dio
So unlikely,Dio
Cause we got rock and roll,Dio
Rock and roll,Dio
Take you anywhere,Dio
Rock and roll,Dio
Rock and roll,Dio
Someone's always there,Dio
Rock and roll,Dio
Bring me anywhere,Dio
Rock and roll,Dio
Rock and roll,Dio
Someone's always there,Dio
Rock and roll,Dio
"Rock and roll me, ah",Dio
Rock and roll,Dio
Rock and roll,Dio
Rock and roll,Dio
Rock and roll,Dio
You've ridden on a carousel,Dio
So you know the feeling,Dio
As the ring slips through your fingers,Dio
Sometimes you justify it,Dio
But there's the sword,Dio
And you're bleeding once again,Dio
Before you're in a corner,Dio
Can't crawl away,Dio
Here's a way to save you,Dio
You gotta push,Dio
Get out of my way and push,Dio
You can turn the wheel,Dio
Push,Dio
One more push,Dio
You're master of the broken heart,Dio
And so you know the feeling,Dio
As your soul starts going under,Dio
Sometimes you rectify it,Dio
Then out of the blue,Dio
The hammer falls again,Dio
Before you're in the water,Dio
Can't sail away,Dio
Here's a way to save you,Dio
You gotta push,Dio
Break the body down,Dio
Oh push,Dio
Out of my way I'll push,Dio
You better push,Dio
You gotta push,Dio
Hands against the wall,Dio
And push,Dio
Out of my way we'll push,Dio
You can turn the wheel,Dio
Go on and push,Dio
Push,Dio
Push,Dio
Push,Dio
Push,Dio
He'd never tell her lies,Dio
And she believed in magic,Dio
But when the magic died,Dio
She could see that all along he's just been,Dio
"Guilty - a liar, liar",Dio
Guilty,Dio
Guilty - burn in fire,Dio
Guilty,Dio
It's time to say goodbye,Dio
Don't tell another story,Dio
Another alibi,Dio
Now you see that all along he's just been,Dio
"Guilty - a liar, liar",Dio
Guilty,Dio
Guilty - you burn in fire,Dio
Guilty,Dio
Guilty - the great pretender,Dio
Guilty,Dio
You're guilty - just surrender cause you're guilty,Dio
Broken promise,Dio
But please forgive again,Dio
One more time for me,Dio
It's the very last time - you'll see,Dio
"Guilty - liar, liar",Dio
You'll burn in fire,Dio
"Guilty - liar, liar",Dio
Guilty,Dio
Guilty - the great pretender,Dio
Guilty,Dio
"Guilty - just surrender, you're guilty",Dio
"Guilty, guilty, guilty",Dio
"A liar, liar",Dio
Guilty - you'll burn in fire,Dio
"Oh guilty, you'll burn in fire",Dio
Surrender - guilty,Dio
So guilty,Dio
"Oh-oh, the sun's gone down",Dio
Her day begins,Dio
And the rhythm of the darkness,Dio
Wakes the dead,Dio
Don't answer eyes that smile,Dio
Don't let them in,Dio
They see the lonely child,Dio
She feels their sin,Dio
But it's getting so much colder,Dio
And she's afraid,Dio
Never going back to where the pain was,Dio
She'd rather face the pain that's here and now,Dio
Someone's thrown away their children,Dio
You can see them running from your smile,Dio
Sing for the runaway children,Dio
The throw-away child,Dio
I'll make you safe and warm,Dio
Words she needs to hear,Dio
What they really mean is no more little girl,Dio
Don't see her anymore,Dio
They disappear,Dio
Yesterday they said that she was dying,Dio
And just today I heard that she was dead,Dio
Someone's thrown away their children,Dio
You can see them running from your smile,Dio
Sing for the runaway children,Dio
The throw-away child,Dio
Someone's thrown away their children,Dio
You can hear them only if you try,Dio
Sing for the runaway children,Dio
Goodbye,Dio
Someone's thrown away their children,Dio
You can see them running from your smile,Dio
Sing for the runaway children,Dio
The throw-away child,Dio
Someone had a dream,Dio
Never been to London,Dio
Never in a limousine,Dio
Something made him go,Dio
Could it be the voices,Dio
Coming from the radio,Dio
But somewhere down the line,Dio
The happiness you'll find,Dio
Will crash into a wall,Dio
Just before the fall,Dio
Someone joined the band,Dio
But he never heard the music,Dio
Couldn't really understand,Dio
"No, no no",Dio
Don't know what they mean,Dio
Where's my picture,Dio
Shining from a magazine,Dio
But somewhere down the line,Dio
He'll quickly glance behind,Dio
Then smash into a wall,Dio
Before the fall,Dio
Someone ran so fast,Dio
When he saw the future,Dio
He was sure that it was just the past,Dio
Someone had a dream,Dio
Only this one ended lost,Dio
Inside the old machine,Dio
And somewhere down the line,Dio
They'll say that his is mine,Dio
And all that's left is time,Dio
"Time to fall and stumble, ah",Dio
Tired of living in the black and white?,Dio
Where fools can tell you that you're never right,Dio
I know a place where the film's in color,Dio
Just step inside of yourself,Dio
Here's a place in the front row,Dio
So on with the show,Dio
The same old shadow on the run,Dio
"That's no shadow, it's your shadow's son",Dio
I know a place where the pools got water,Dio
And you don't need to know how to swim,Dio
Here's the key to the back door,Dio
Do you want more,Dio
Do you need more?,Dio
Same old rhythm to the same old rhyme,Dio
The same old clock - same old time,Dio
There's a place where the grass is greener,Dio
"And you can shake, rattle and roll",Dio
